Altium Designer Pick and Place Locations
Z:\Desktop\H19R1x-Hardware\H19R1\Project Outputs for H19R1\Pick Place for H19R1.txt

========================================================================================================================
File Design Information:

Date:       02/12/25
Time:       13:35
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                    Layer       Footprint                 Center-X(mil) Center-Y(mil) Rotation Description                                                                                                       
Y1         CSTNE19M2VH3L000R0         TopLayer    OSC_CSTNE19M2VH3L000R0    256.481       -2.585        0        "19.2MHz Ceramic Resonator Built in Capacitor 15pF Â±0.11% -40Â°C ~ 85Â°C Surface Mount"                          
U2         TB6575FNG,C,8,EL           TopLayer    SSOP24-P-300-0p65A_TOS    601.733       169.077       0        "No Description Available"                                                                                        
R22        RC0402FR-071KL             TopLayer    R0402_3                   1068.551      154.480       90       "SMD Chip Resistor 1 Kohm ½ 1% 62.5 Mw 0402 [1005 Metric] Thick Film General Purpose"                             
R21        RC0402FR-071KL             TopLayer    R0402_3                   810.545       -436.444      90       "SMD Chip Resistor 1 Kohm ½ 1% 62.5 Mw 0402 [1005 Metric] Thick Film General Purpose"                             
R20        RC0402FR-071KL             TopLayer    R0402_3                   405.103       -405.532      90       "SMD Chip Resistor 1 Kohm ½ 1% 62.5 Mw 0402 [1005 Metric] Thick Film General Purpose"                             
R19        RC0402FR-071KL             TopLayer    R0402_3                   156.605       -338.947      90       "SMD Chip Resistor 1 Kohm ½ 1% 62.5 Mw 0402 [1005 Metric] Thick Film General Purpose"                             
R18        ERJ-2RKF1003X              TopLayer    R0402_3                   991.271       49.851        90       "Res Thick Film 0402 100K Ohm 1% 1/10W ±100ppm/°C Molded SMD Punched Carrier T/R"                                 
R17        ERJ-2RKF1003X              TopLayer    R0402_3                   916.365       54.607        90       "Res Thick Film 0402 100K Ohm 1% 1/10W ±100ppm/°C Molded SMD Punched Carrier T/R"                                 
R16        ERJ-2RKF1003X              TopLayer    R0402_3                   850.969       52.227        90       "Res Thick Film 0402 100K Ohm 1% 1/10W ±100ppm/°C Molded SMD Punched Carrier T/R"                                 
R15        RC0402FR-071KL             TopLayer    R0402_3                   928.253       -110.663      90       "SMD Chip Resistor 1 Kohm ½ 1% 62.5 Mw 0402 [1005 Metric] Thick Film General Purpose"                             
R14        RC0402FR-071KL             TopLayer    R0402_3                   667.867       -102.339      90       "SMD Chip Resistor 1 Kohm ½ 1% 62.5 Mw 0402 [1005 Metric] Thick Film General Purpose"                             
R13        RC0402FR-071KL             TopLayer    R0402_3                   496.655       -85.695       90       "SMD Chip Resistor 1 Kohm ½ 1% 62.5 Mw 0402 [1005 Metric] Thick Film General Purpose"                             
R12        RMCF0402FT20K0             TopLayer    R0402_3                   924.685       336.395       90       "Res Thick Film 0402 20K Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD Automotive T/R"                                   
